index,age,male,marr,currmarr,children,educ,postgrad,empl,hours,inc,tran,bwnorm
17,36,0,1,4,2,12,0,1,1840,14452,0,1
42,35,1,2,1,2,12,0,1,2048,24940,0,0
44,41,1,1,4,2,16,0,1,3083,43048,0,0
45,36,0,1,1,2,10,0,1,1536,11000,946,0
77,28,1,1,1,2,12,0,1,2080,21000,0,1
103,41,0,1,1,2,12,0,1,2080,19000,0,1
105,35,1,1,1,3,0,1,1,3672,73000,0,1
203,46,0,2,4,2,13,0,1,2080,10000,0,0
205,31,1,1,5,1,11,0,1,2600,30000,0,0
208,43,1,2,1,4,13,0,1,2520,25000,0,0
219,44,0,2,1,3,12,0,1,1616,20000,0,0
234,78,1,2,1,2,12,0,4,,1000,18120,0
236,37,1,1,4,0,12,0,1,1945,34763,0,1
242,61,1,1,1,2,10,0,1,1560,42088,2329,0
245,40,0,1,5,0,15,0,1,1403,18000,800,1
249,42,1,2,1,3,12,0,1,2360,61400,920,0
258,62,0,3,4,3,16,0,4,,10090,0,0
259,38,0,0,2,0,16,0,1,1626,11174,0,1
260,33,0,1,1,2,14,0,1,2178,22400,0,1
291,32,1,1,4,2,12,0,1,4108,37000,0,0
302,80,0,1,3,3,12,0,1,714,2100,10752,0
306,68,0,1,3,4,12,0,1,1872,7000,3600,0
307,34,1,2,1,2,12,0,1,2488,38200,0,1
308,37,1,1,1,3,12,0,1,2616,65000,0,1
309,37,1,2,4,2,12,0,1,2064,26240,0,1
310,43,1,1,1,2,13,0,1,2668,40050,1000,1
375,57,0,1,3,2,12,0,1,2000,32500,0,0
393,57,0,1,4,2,12,0,1,1944,21362,0,0
394,32,0,2,4,1,12,0,1,1703,19000,500,1
411,71,1,1,3,3,15,0,4,,2300,10248,0
466,45,1,1,1,2,0,1,1,3260,31874,0,0
482,56,0,1,3,1,12,0,1,941,7000,0,0
483,29,1,1,1,3,12,0,1,2208,43000,0,0
485,27,0,4,4,0,12,0,1,4608,27000,0,0
528,36,1,3,4,2,12,0,1,2600,8992,0,0
596,34,0,3,1,2,8,0,1,2552,13000,700,0
633,54,1,1,1,7,14,0,1,1919,20399,0,0
634,52,0,1,1,7,13,0,1,1646,2600,0,0
636,29,0,1,1,2,15,0,1,321,1200,0,1
669,54,1,1,1,5,12,0,1,4296,29900,0,0
670,49,0,1,1,5,12,0,1,1880,20000,0,0
671,30,1,1,1,2,12,0,1,2000,21900,0,1
690,48,1,1,1,1,12,0,2,2130,14388,0,0
691,47,0,1,1,1,12,0,1,1960,6000,1000,0
705,55,1,1,1,8,10,0,1,1994,11816,0,0
706,52,0,1,1,8,13,0,1,2123,19700,0,0
707,32,1,2,1,3,11,0,1,2536,18500,0,1
710,30,0,2,1,2,12,0,1,252,1000,0,1
712,28,1,3,1,1,12,0,1,2868,18000,0,1
742,31,1,1,1,3,12,0,1,2782,17000,0,0
816,57,1,1,1,3,11,0,1,2250,14963,0,1
846,40,1,2,1,3,16,0,1,2700,70600,0,1
847,41,1,2,1,1,0,1,1,2662,62800,20,1
878,64,0,1,3,4,12,0,4,840,17737,431,0
891,38,0,1,1,2,0,1,1,1931,31993,0,0
908,82,1,1,1,1,10,0,4,,1000,8200,0
910,68,0,0,2,0,14,0,4,,700,6948,0
933,52,0,1,4,1,14,0,1,2016,31511,0,0
957,84,0,0,2,0,7,0,3,638,1200,2004,0
961,59,1,1,1,5,10,0,1,2400,19600,0,0
965,27,0,0,2,0,12,0,1,2391,14341,0,1
979,67,1,2,4,6,12,0,4,504,5100,20063,0
994,37,0,0,2,0,0,1,1,3370,40400,0,1
1005,57,1,2,4,5,12,0,1,2760,61000,0,0
1007,33,1,1,1,3,12,0,1,1926,40000,0,1
1021,39,1,2,1,3,12,0,1,3570,49333,0,0
1022,39,0,1,4,1,14,0,1,1939,31250,0,0
1038,52,1,2,1,3,13,0,1,2940,110000,0,0
1053,52,1,2,1,3,12,0,4,705,10000,8400,0
1054,47,0,2,1,3,12,0,6,510,12000,1200,0
1061,45,1,2,1,3,16,0,1,2450,22000,0,0
1062,50,0,2,1,2,12,0,4,208,725,0,0
1071,64,1,1,1,3,10,0,1,2236,55000,0,0
1072,59,0,1,1,3,13,0,1,2040,17000,0,0
1074,35,1,2,1,3,11,0,1,3263,39050,0,1
1075,31,1,1,4,2,12,0,1,2080,30500,0,1
1087,42,1,3,1,4,13,0,1,850,18795,0,0
1113,61,1,1,1,4,12,0,1,2650,56450,5000,0
1115,36,0,1,1,2,12,0,1,1900,25000,0,1
1117,32,0,3,1,2,12,0,1,2085,15500,250,1
1129,38,1,1,1,2,12,0,1,2530,5000,0,0
1147,51,1,2,1,2,0,1,1,1880,41000,0,0
1148,48,0,2,1,2,12,0,1,2827,78500,0,0
1154,51,1,2,1,1,15,0,1,2827,84200,0,0
1158,51,1,1,1,2,0,1,1,2868,52500,0,0
1159,48,0,1,4,2,0,1,1,2598,32000,0,0
1184,61,1,1,1,4,11,0,1,1960,36350,0,0
